"sensor_index","name","latitude","longitude"
"278161","Pittsburg High Rose Monitor","38.022194","-121.884964"
"120703","PittsburgOldTown","38.034157","-121.88032"
"171605","Annettes sensor","38.002666","-121.89663"
"254776","Pittsburg Rose Monitor","38.024426","-121.91051"
