time_stamp,pm2.5_atm
2025-10-25T09:00:00-07:00,3.1
2025-10-25T10:00:00-07:00,2.5
2025-10-25T11:00:00-07:00,0.8
2025-10-25T12:00:00-07:00,0.4
2025-10-25T13:00:00-07:00,1
2025-10-25T14:00:00-07:00,0.8
2025-10-25T15:00:00-07:00,1
2025-10-25T16:00:00-07:00,1.1
2025-10-25T17:00:00-07:00,1.3
2025-10-25T18:00:00-07:00,1.7
2025-10-25T19:00:00-07:00,1.5
2025-10-25T20:00:00-07:00,2.4
2025-10-25T21:00:00-07:00,2.3
2025-10-25T22:00:00-07:00,2.7
2025-10-25T23:00:00-07:00,2.6
